musteri_id_mask,bilet_alma_tarihi,min_bilet_alma_zamani,gunluk_toplam_islem_sayisi,sube_kodu,x,y
17625161,22AUG2014:00:00:00,22AUG2014:13:30:33.000000,6,103,41.05041,28.91761
18909213,27AUG2014:00:00:00,27AUG2014:14:29:21.000000,21,104,36.98634,35.326754
18909213,06AUG2014:00:00:00,06AUG2014:10:37:29.000000,7,104,36.98634,35.326754
17303354,09JAN2015:00:00:00,09JAN2015:14:08:36.000000,5,104,36.98634,35.326754
2853662,01AUG2014:00:00:00,01AUG2014:13:54:55.000000,4,104,36.98634,35.326754
20747527,12SEP2014:00:00:00,12SEP2014:09:03:13.000000,4,111,40.195159,29.064203
13055162,05FEB2015:00:00:00,05FEB2015:11:29:26.000000,11,113,38.401691,27.106061
15766015,27APR2015:00:00:00,27APR2015:12:12:22.000000,3,126,41.269081,26.685162
20726978,07JAN2015:00:00:00,07JAN2015:15:35:34.000000,4,142,41.00892,28.95371
20726978,21JUL2014:00:00:00,21JUL2014:11:16:55.000000,9,142,41.00892,28.95371
15748483,10NOV2014:00:00:00,10NOV2014:16:34:27.000000,3,142,41.00892,28.95371
18909213,04DEC2014:00:00:00,04DEC2014:11:39:35.000000,3,142,41.00892,28.95371
17320700,03JUL2014:00:00:00,03JUL2014:10:11:29.000000,4,148,41.08038,29.0337
15986491,22SEP2014:00:00:00,22SEP2014:14:13:27.000000,12,150,40.978678,28.874209
13055162,24DEC2014:00:00:00,24DEC2014:16:12:55.000000,8,150,40.978678,28.874209
20007351,09JAN2015:00:00:00,09JAN2015:16:18:19.000000,4,152,41.0169,28.9507
20007351,16FEB2015:00:00:00,16FEB2015:11:06:03.000000,13,152,41.0169,28.9507
20007351,23JAN2015:00:00:00,23JAN2015:15:18:34.000000,4,152,41.0169,28.9507
20007351,09JUL2014:00:00:00,09JUL2014:15:16:57.000000,5,152,41.0169,28.9507
20007351,16MAR2015:00:00:00,16MAR2015:15:37:07.000000,7,152,41.0169,28.9507
20007351,21JAN2015:00:00:00,21JAN2015:13:58:16.000000,5,152,41.0169,28.9507
