tarih,musteri_id_mask,alici_musteri_id_mask,doviz_fmt,odeme_turu_fmt,havale_tutari,musteri_tip
30APR2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,1173.7,TUZEL
30APR2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,1174.72,TUZEL
30APR2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,1207.72,TUZEL
06APR2015:00:00:00,17257260,17257188,TURK_LIRASI,DIGER_ODEMELER,2500,GERCEK
27MAY2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
27MAY2015:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,3000,GERCEK
27MAY2015:00:00:00,10961244,6906362,TURK_LIRASI,DIGER_ODEMELER,750,TUZEL
11MAR2015:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,2000,GERCEK
07APR2015:00:00:00,10961244,6906362,TURK_LIRASI,DIGER_ODEMELER,500,TUZEL
28MAY2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,1000,GERCEK
29MAY2015:00:00:00,4365610,27994481,TURK_LIRASI,AIDAT,455,TUZEL
08APR2015:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,340,TUZEL
03MAY2015:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,750,TUZEL
13MAR2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
04MAY2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,800,GERCEK
09APR2015:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,100,GERCEK
14MAR2015:00:00:00,20747527,4601807,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
01JUN2015:00:00:00,2782253,27493266,TURK_LIRASI,DIGER_ODEMELER,900,GERCEK
01JUN2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,1383.87,TUZEL
10APR2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
01JUN2015:00:00:00,18654919,27643289,TURK_LIRASI,DIGER_ODEMELER,125,TUZEL
01JUN2015:00:00:00,18654919,27643289,TURK_LIRASI,DIGER_ODEMELER,150,TUZEL
05MAY2015:00:00:00,18654919,1852491,TURK_LIRASI,DIGER_ODEMELER,1062.5,TUZEL
02JUN2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,600,GERCEK
06MAY2015:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,300,TUZEL
13APR2015:00:00:00,17257260,19160043,TURK_LIRASI,DIGER_ODEMELER,2350,GERCEK
02JUN2015:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,960,TUZEL
14APR2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
07MAY2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
03JUN2015:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,230,TUZEL
07MAY2015:00:00:00,18654919,27643289,TURK_LIRASI,DIGER_ODEMELER,150,TUZEL
09MAY2015:00:00:00,10961244,10734637,TURK_LIRASI,DIGER_ODEMELER,45,GERCEK
15APR2015:00:00:00,20498552,27766025,TURK_LIRASI,DIGER_ODEMELER,100,GERCEK
11MAY2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
11MAY2015:00:00:00,20018440,8702466,TURK_LIRASI,DIGER_ODEMELER,70,GERCEK
18MAR2015:00:00:00,16309426,14477472,TURK_LIRASI,DIGER_ODEMELER,50,GERCEK
08JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,2135.63,TUZEL
08JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,3000,TUZEL
12MAY2015:00:00:00,3054783,26987465,TURK_LIRASI,AIDAT,1205,TUZEL
18MAR2015:00:00:00,20747527,4601807,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
16APR2015:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,5000,GERCEK
12MAY2015:00:00:00,20217876,11094454,TURK_LIRASI,DIGER_ODEMELER,800,GERCEK
09JUN2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
13MAY2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,3000,GERCEK
17APR2015:00:00:00,10961244,7947603,TURK_LIRASI,DIGER_ODEMELER,120,GERCEK
10JUN2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,1000,GERCEK
10JUN2015:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,16.7,TUZEL
14MAY2015:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,535,TUZEL
20APR2015:00:00:00,9765025,25854165,TURK_LIRASI,AIDAT,1250,TUZEL
12JUN2015:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,700,GERCEK
12JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,3500,TUZEL
12JUN2015:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,5525,TUZEL
15MAY2015:00:00:00,15748483,10485075,TURK_LIRASI,DIGER_ODEMELER,100,GERCEK
